id_customer,merchant_name,id_order,order_date,order_total_paid,order_delivery_fee,order_total_promo,order_tip,order_year,order_normal_price,deliveroo_plus
87698,deliveroo,38765758,2019-01-19,26.76,0.0,2.73,1.0,2019,29.490000000000002,1
87698,deliveroo,45453935,2019-03-16,16.55,0.0,0.0,0.0,2019,16.55,1
87965,deliveroo,28784730,2018-10-22,51.78,0.0,0.0,0.0,2018,51.78,1
87965,deliveroo,28784731,2018-10-22,15.77,0.0,0.0,0.0,2018,15.77,1
87965,deliveroo,29230087,2018-10-24,18.26,0.0,0.0,0.0,2018,18.26,1
87965,deliveroo,29286363,2018-10-25,14.76,0.0,0.0,0.0,2018,14.76,1
87965,deliveroo,29519254,2018-10-27,30.21,0.0,0.0,0.0,2018,30.21,1
87965,deliveroo,30144237,2018-10-30,14.78,0.0,0.0,0.0,2018,14.78,1
87965,deliveroo,30144238,2018-10-29,35.13,0.0,0.0,0.0,2018,35.13,1
87965,deliveroo,30144239,2018-10-29,18.32,0.0,0.0,0.0,2018,18.32,1
87965,deliveroo,31413905,2018-11-08,44.73,0.0,0.0,0.0,2018,44.73,1
87965,deliveroo,31557012,2018-11-14,32.12,0.0,0.0,0.0,2018,32.12,1
87965,deliveroo,32101854,2018-11-15,44.69,0.0,0.0,0.0,2018,44.69,1
87965,deliveroo,32202425,2018-11-19,14.16,0.0,0.0,0.0,2018,14.16,1
87965,deliveroo,32271694,2018-11-21,48.7,0.0,0.0,0.0,2018,48.7,1
87965,deliveroo,32367081,2018-11-23,16.92,0.0,0.0,0.0,2018,16.92,1
87965,deliveroo,32429829,2018-11-24,55.06,0.0,0.0,0.0,2018,55.06,1
87965,deliveroo,33082883,2018-12-01,38.62,0.0,0.0,0.0,2018,38.62,1
87965,deliveroo,33082884,2018-11-30,56.01,0.0,0.0,0.0,2018,56.01,1
87965,deliveroo,33547715,2018-12-05,16.63,0.0,0.0,0.0,2018,16.63,1
87965,deliveroo,33547716,2018-12-05,13.78,0.0,0.0,0.0,2018,13.78,1
87965,deliveroo,33547717,2018-12-04,44.95,0.0,0.0,0.0,2018,44.95,1
87965,deliveroo,33689236,2018-12-07,23.51,0.0,0.0,0.0,2018,23.51,1
87965,deliveroo,33817910,2018-12-10,14.87,0.0,0.0,0.0,2018,14.87,1
87965,deliveroo,33910084,2018-12-14,15.4,0.0,0.0,0.0,2018,15.4,1
87965,deliveroo,33910085,2018-12-13,19.68,0.0,0.0,0.0,2018,19.68,1
87965,deliveroo,33910086,2018-12-13,15.29,0.0,0.0,0.0,2018,15.29,1
87965,deliveroo,33910087,2018-12-12,48.83,0.0,0.0,0.0,2018,48.83,1
87965,deliveroo,34128926,2018-12-14,60.08,0.0,0.0,0.0,2018,60.08,1
87965,deliveroo,34180330,2018-12-19,45.46,0.0,0.0,0.0,2018,45.46,1
87965,deliveroo,34180331,2018-12-19,17.78,0.0,0.0,0.0,2018,17.78,1
87965,deliveroo,36568187,2019-01-10,35.39,0.0,0.0,0.0,2019,35.39,1
87965,deliveroo,36568191,2019-01-09,14.66,0.0,0.0,0.0,2019,14.66,1
87965,deliveroo,36568198,2019-01-09,15.32,0.0,0.0,0.0,2019,15.32,1
87965,deliveroo,37796596,2019-01-13,59.81,0.0,0.0,0.0,2019,59.81,1
87965,deliveroo,37833968,2019-01-14,16.45,0.0,0.0,0.0,2019,16.45,1
87965,deliveroo,38346715,2019-01-16,22.4,0.0,0.0,0.0,2019,22.4,1
87965,deliveroo,38538135,2019-01-17,45.73,0.0,0.0,0.0,2019,45.73,1
87965,deliveroo,38767487,2019-01-19,62.96,0.0,0.0,0.0,2019,62.96,1
87965,deliveroo,38767488,2019-01-18,45.43,0.0,0.0,0.0,2019,45.43,1
87965,deliveroo,38767489,2019-01-18,20.59,0.0,0.0,0.0,2019,20.59,1
87965,deliveroo,40130068,2019-01-29,15.97,0.0,0.0,0.0,2019,15.97,1
87965,deliveroo,40130076,2019-01-28,27.08,0.0,0.0,0.0,2019,27.08,1
87965,deliveroo,40417922,2019-01-31,46.8,0.0,0.0,0.0,2019,46.8,1
87965,deliveroo,41278854,2019-02-02,58.44,0.0,0.0,0.0,2019,58.44,1
87965,deliveroo,41514461,2019-02-05,12.65,0.0,0.0,0.0,2019,12.65,1
87965,deliveroo,41790801,2019-02-09,57.39,0.0,0.0,0.0,2019,57.39,1
87965,deliveroo,41790803,2019-02-06,15.82,0.0,0.0,0.0,2019,15.82,1
87965,deliveroo,42324848,2019-02-14,17.62,0.0,0.0,0.0,2019,17.62,1
87965,deliveroo,42324849,2019-02-13,21.07,0.0,0.0,0.0,2019,21.07,1
87965,deliveroo,42324850,2019-02-13,60.32,0.0,0.0,0.0,2019,60.32,1
87965,deliveroo,42324851,2019-02-13,17.51,0.0,0.0,0.0,2019,17.51,1
87965,deliveroo,42324852,2019-02-12,36.22,0.0,0.0,0.0,2019,36.22,1
87965,deliveroo,42324853,2019-02-11,14.84,0.0,0.0,0.0,2019,14.84,1
87965,deliveroo,42751593,2019-02-16,56.64,0.0,0.0,0.0,2019,56.64,1
87965,deliveroo,42999394,2019-02-18,51.08,0.0,10.5,0.0,2019,61.58,1
87965,deliveroo,43236648,2019-02-20,50.49,0.0,0.0,0.0,2019,50.49,1
87965,deliveroo,43320457,2019-02-22,48.84,0.0,0.0,0.0,2019,48.84,1
87965,deliveroo,43320458,2019-02-21,23.68,0.0,0.0,0.0,2019,23.68,1
87965,deliveroo,43558683,2019-02-25,25.17,0.0,0.0,0.0,2019,25.17,1
87965,deliveroo,43637794,2019-02-26,37.92,0.0,0.0,0.0,2019,37.92,1
87965,deliveroo,44596542,2019-03-06,57.0,0.0,0.0,0.0,2019,57.0,1
87965,deliveroo,44596556,2019-03-13,16.82,0.0,4.4,0.0,2019,21.22,1
87965,deliveroo,44967998,2019-03-16,21.78,0.0,0.0,0.0,2019,21.78,1
87965,deliveroo,44967999,2019-03-15,16.78,0.0,0.0,0.0,2019,16.78,1
87965,deliveroo,44968000,2019-03-14,30.59,0.0,4.0,0.0,2019,34.59,1
